pid,experiment,smoothing
56da8da8c5b248000ae2adaf,experiment_1,1.72276677
57e91ff08dcd2c00014bea18,experiment_1,2.27359758
5999ad2a0ed7ae0001991b57,experiment_1,2.0794416
5aead02c78b0060001e6b394,experiment_1,0.69314617
5b8bbd437073290001839123,experiment_1,2.07944154
5bcdd6be25295a0001a71beb,experiment_1,2.07944164
5be87e33a14b540001aa2ea5,experiment_1,1.55452808
5bfd745a8acfed00011a6975,experiment_1,2.07944447
5c3f62338cb6f5000180b697,experiment_1,2.4850619
5c405aee40de0b0001437db0,experiment_1,4.39139762
5c48734767be2c0001074eb6,experiment_1,3.78419026
5c5af8dfe7f42600017cde68,experiment_1,1.04982209
5c665e1948985d0001f09675,experiment_1,2.4849053
5c6aeae949b7f0000120b170,experiment_1,2.48490516
5c86addf4b443c000103ad14,experiment_1,1.72420383
5c8a4f339917780016a4ee43,experiment_1,2.99573232
5ca4ed188ef8c300164ed71f,experiment_1,0.0
5d2a4351379e510001491ee4,experiment_1,2.2735983
5d6a79f5d10473001a62fa47,experiment_1,0.49899105
5d7955d03ff9070001280c8c,experiment_1,1.89712007
5d7d28b697f15700196423df,experiment_1,1.90745475
5d826a4c25310e001911a87d,experiment_1,0.68129293
5d970d28fa86b600170d9a26,experiment_1,0.19990054
5db6fbd992a62e000c1d47d5,experiment_1,1.72276681
5dcb33ab0550ef819f508abf,experiment_1,1.89714849
5dcbc939f28035000c6a572e,experiment_1,1.72276763
5de78fbbd7b2a0000bc2df59,experiment_1,2.48490506
5df3a70877f865293e86c0a0,experiment_1,0.72188732
5e32ef0a66f7ac2bc3bbc675,experiment_1,2.48490514
5e370958fbc3bf68f59c8998,experiment_1,2.48490522
5e3af1046218720332ff9cea,experiment_1,2.07944167
5e5d61de94ec4d03111eefe3,experiment_1,0.0
5e66df8c7f7cf84730f4eb1a,experiment_1,1.55334904
5e7607c3dec4561735fbc3f2,experiment_1,2.72129744
5e7a2605c7d80c064795b86a,experiment_1,2.07944173
5e8e11676c1dea0be7a64cb3,experiment_1,2.0794416
5e9890e8cc36260b3fb2255c,experiment_1,2.07944678
5ea9aec867ff380f1a507873,experiment_1,2.27359752
5eaab75ff9860902c68c9502,experiment_1,1.8971199
5eac1bb54efbe803cc61af29,experiment_1,3.78419039
5eb53f0da7325c023549eff9,experiment_1,1.72276681
5eb7dec5245b8670ff3536f2,experiment_1,0.0
5ebc789c4495870c5b3b3911,experiment_1,2.27359816
5eccfbee54762d00083aea9b,experiment_1,0.0
5ecd84fc5216e60fe17dd26a,experiment_1,2.72129715
5ed2a11ff7ce322295acbf2e,experiment_1,0.49659974
5ed63746e2b0e6032859b81b,experiment_1,0.70120022
5ed8fd2c7adfab08ea2918c4,experiment_1,2.27359751
5ede000fb1248f0009695ab4,experiment_1,1.72276681
5ee06cbc6b82193bc8da5524,experiment_1,1.55282123
5eecfb83a383180f01066a86,experiment_1,0.39269285
5f15d1e7f7fa5e0bef2dfb2a,experiment_1,0.28769467
5f17496ef96a7d086a4606ee,experiment_1,1.72276674
5f228a74c16ecb762a93f0ba,experiment_1,2.9957323
5f24954e84188309995be987,experiment_1,3.78419039
5f2f6229b83f0935eb8248c2,experiment_1,2.99573224
5f326ff87342ad019f9f3c1d,experiment_1,3.33220463
5f3389a931b4ce1ad61630b0,experiment_1,2.72129551
5f343c0102886030ce1fa987,experiment_1,1.55334915
test_625034503,experiment_1,2.27359751
59402f40e9b44100013b1789,experiment_2,0.71154368
59de425bbe399f0001e4975e,experiment_2,0.05594933
5b6baad47e435d0001c1c88f,experiment_2,1.21924023
5b74413e722bd2000195c067,experiment_2,1.21923983
5ba4d6c929629d00014e6c28,experiment_2,1.56437769
5badf0aeae1d020001df2cc7,experiment_2,0.30329413
5c6d938c79151c00017c7560,experiment_2,1.55334915
5c74f0d525c76b0010706736,experiment_2,0.69314626
5c9124ef3b7f9e0013728485,experiment_2,1.55530705
5cae09506d573900175d4727,experiment_2,1.04982207
5cb304b63742a400153b756d,experiment_2,2.2735974
5ccc758ab11510001584a1af,experiment_2,1.55334914
5cd98287b0c5ec0001e0965a,experiment_2,1.72276672
5cdeaeb3557fbd00018a2c59,experiment_2,2.48490506
5cf92c7255e1370001e54adb,experiment_2,1.89712
5d29fbc8f91bdd0016e98503,experiment_2,0.28776442
5d36ff998129260015c6de19,experiment_2,1.55334904
5d6e3252dfe6d10001dbe508,experiment_2,1.19642184
