,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
15299,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,1,0.7266638632047331,0.6712020253892854,11.1939266
15303,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,1,0.7662377088939077,0.7770887149698589,13.17108525
15307,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,1,0.7729616954067501,0.5561873177007027,12.12883348
15315,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,1,0.6871068906126281,0.8196660730665135,12.80040324
15319,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,1,0.5588712267437154,0.752202686108324,12.80040324
15323,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,1,0.9216739550012043,0.6755571577384749,12.69496806
15331,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,1,0.8356010126946427,1.0,7.861273305
15335,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,1,1.0,0.8564083682764524,9.119729026
15339,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,1,0.889903623487364,0.8960249510179927,10.75905118
15351,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,1,0.75615689581319,0.9260778729045427,10.19036707
15355,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,1,0.8921672267965616,0.8634952734420129,10.36907983
15359,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,1,0.8433479100024085,0.7336881793543463,10.58810558
15363,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,1,0.7729616954067501,0.8241368854718353,10.82772196
15367,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,1,0.8686935671402775,0.8762820851736516,10.00513979
15371,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,1,0.9221501055838477,0.9264785377906193,10.53518068
15383,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,1,0.8248576389739852,0.6585846852030299,13.73757597
15387,2_5badf0aeae1d020001df2cc7_estate_congruent,5badf0aeae1d020001df2cc7,experiment_2,1,estate,1,0.9063414188418306,0.7697169067640808,13.86409901
