,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
15298,2_59402f40e9b44100013b1789_crime_congruent,59402f40e9b44100013b1789,experiment_2,1,crime,TA,0.6444204988906203,0.6040748091409733,13.36710917
15302,2_59402f40e9b44100013b1789_estate_incongruent,59402f40e9b44100013b1789,experiment_2,2,estate,TA,0.6777809182993317,0.6564706382850973,13.84116921
15306,2_59402f40e9b44100013b1789_finance_implausible,59402f40e9b44100013b1789,experiment_2,3,finance,TA,0.8984653834866381,0.49248078107744764,13.5442453
15314,2_59de425bbe399f0001e4975e_crime_incongruent,59de425bbe399f0001e4975e,experiment_2,2,crime,TA,0.5654759053732592,0.6507848521152109,13.93156857
15318,2_59de425bbe399f0001e4975e_estate_implausible,59de425bbe399f0001e4975e,experiment_2,3,estate,TA,0.4647556758951231,0.4538813187272498,13.93156857
15322,2_59de425bbe399f0001e4975e_finance_congruent,59de425bbe399f0001e4975e,experiment_2,1,finance,TA,0.5638990379742845,0.6026402928804868,13.93156857
15330,2_5b6baad47e435d0001c1c88f_crime_incongruent,5b6baad47e435d0001c1c88f,experiment_2,2,crime,TA,0.8356010126946427,1.0,8.415991176
15334,2_5b6baad47e435d0001c1c88f_estate_implausible,5b6baad47e435d0001c1c88f,experiment_2,3,estate,TA,1.0,0.8564083682764524,9.30628368
15338,2_5b6baad47e435d0001c1c88f_finance_congruent,5b6baad47e435d0001c1c88f,experiment_2,1,finance,TA,0.7940285397822251,0.8054804949681451,10.80682658
15350,2_5b74413e722bd2000195c067_crime_implausible,5b74413e722bd2000195c067,experiment_2,3,crime,TA,0.75615689581319,0.9260778729045427,10.42315692
15354,2_5b74413e722bd2000195c067_estate_congruent,5b74413e722bd2000195c067,experiment_2,1,estate,TA,0.8921672267965616,0.8634952734420129,10.41982532
15358,2_5b74413e722bd2000195c067_finance_incongruent,5b74413e722bd2000195c067,experiment_2,2,finance,TA,0.8433479100024085,0.7336881793543463,11.02854196
15362,2_5ba4d6c929629d00014e6c28_crime_implausible,5ba4d6c929629d00014e6c28,experiment_2,3,crime,TA,0.7729616954067501,0.8241368854718353,11.05820728
15366,2_5ba4d6c929629d00014e6c28_estate_incongruent,5ba4d6c929629d00014e6c28,experiment_2,2,estate,TA,0.8686935671402775,0.8762820851736516,10.28702704
15370,2_5ba4d6c929629d00014e6c28_finance_congruent,5ba4d6c929629d00014e6c28,experiment_2,1,finance,TA,0.889903623487364,0.8960249510179927,10.96792191
15382,2_5badf0aeae1d020001df2cc7_crime_incongruent,5badf0aeae1d020001df2cc7,experiment_2,2,crime,TA,0.7286706210123193,0.5709905831399487,13.93116642
